,date,Visits
0,2016-11-12,1536.4717565274198
1,2016-11-13,1679.6305893078447
2,2016-11-14,1701.941830618383
3,2016-11-15,1564.1722283940067
4,2016-11-16,1520.6739586668089
5,2016-11-17,1463.7519366622603
6,2016-11-18,1396.544145348052
7,2016-11-19,1399.1704117989411
8,2016-11-20,1482.0187391950826
9,2016-11-21,1529.8445848914419
10,2016-11-22,1526.7239443616493
11,2016-11-23,1444.0438982436438
12,2016-11-24,1373.8146382700613
13,2016-11-25,1326.7091071923578
14,2016-11-26,1472.107223747912
15,2016-11-27,1583.9031333764674
16,2016-11-28,1460.719082248873
17,2016-11-29,1533.1421570018158
18,2016-11-30,1400.3557166593293
19,2016-12-01,1389.0071913363545
20,2016-12-02,1349.266773185627
21,2016-12-03,1440.0365306815288
22,2016-12-04,1525.5115966840233
23,2016-12-05,1513.7585278913882
24,2016-12-06,1495.3419196935301
25,2016-12-07,1444.8306642163298
26,2016-12-08,1416.2891616643396
27,2016-12-09,1369.5011427841346
28,2016-12-10,1360.4512153735207
29,2016-12-11,1439.703425170693
30,2016-12-12,1457.877654124713
31,2016-12-13,1393.2173565244477
32,2016-12-14,1456.495661736015
33,2016-12-15,1338.3562506649644
34,2016-12-16,1265.5718495798496
35,2016-12-17,1280.5235965061058
36,2016-12-18,1474.6822068360716
37,2016-12-19,1561.789931476335
38,2016-12-20,1501.7013575937092
39,2016-12-21,1418.063069796301
40,2016-12-22,1394.095503151335
41,2016-12-23,1377.481718134847
42,2016-12-24,1393.09920774772
43,2016-12-25,1523.739921737346
44,2016-12-26,1679.6065535442276
45,2016-12-27,1678.3018703753485
46,2016-12-28,1633.965604888099
47,2016-12-29,1684.307716816415
48,2016-12-30,1467.9433775490002
49,2016-12-31,1478.282136753344
